"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Trey McBride (ARI)","169","0","126","1,239","9.8","12","11","0","0","0","0","17","189.9","11.2","93.9%"
"2","Dallas Goedert (PHI)","82","0","60","591","9.9","7","11","0","0","0","0","15","125.1","8.3","88.7%"
"3","Kyle Pitts Sr. (ATL)","118","0","88","928","10.5","12","5","0","0","0","0","17","122.8","7.2","92.4%"
"4","Hunter Henry (NE)","87","0","60","768","12.8","11","7","0","0","0","0","17","118.8","7.0","68.7%"
"5","Travis Kelce (KC)","108","0","76","851","11.2","9","5","1","1","0","0","17","117.2","6.9","89.4%"
"6","Harold Fannin Jr. (CLE)","107","0","72","731","10.2","8","6","7","13","1","1","16","114.4","7.2","85.4%"
"7","Tyler Warren (IND)","112","0","76","817","10.8","10","4","6","8","1","0","17","112.5","6.6","95.4%"
"8","Brock Bowers (LV)","86","0","64","680","10.6","8","7","2","2","0","0","12","112.2","9.4","91.9%"
"9","Colston Loveland (CHI)","82","0","58","713","12.3","10","6","1","-2","0","0","16","107.1","6.7","80.1%"
"10","Jake Ferguson (DAL)","102","0","82","600","7.3","2","8","1","1","0","2","17","106.1","6.2","81.9%"
"11","George Kittle (SF)","69","0","57","628","11.0","9","7","1","-3","0","0","11","104.5","9.5","89.7%"
"12","Juwan Johnson (NO)","102","0","77","889","11.5","11","3","0","0","0","2","17","102.9","6.1","56.1%"
"13","Dalton Schultz (HOU)","106","0","82","777","9.5","5","3","0","0","0","0","17","95.7","5.6","47.8%"
"14","AJ Barner (SEA)","68","0","52","519","10.0","3","6","10","14","1","0","17","95.3","5.6","36.6%"
"15","Dalton Kincaid (BUF)","49","0","39","571","14.6","13","5","0","0","0","0","12","87.1","7.3","59.4%"
"16","Colby Parkinson (LAR)","56","0","43","408","9.5","4","8","0","0","0","1","15","86.8","5.8","30.0%"
"17","Tucker Kraft (GB)","44","0","32","489","15.3","6","6","1","3","0","0","8","85.2","10.7","61.3%"
"18","Mark Andrews (BAL)","70","0","48","422","8.8","3","5","10","48","1","0","17","83.0","4.9","83.6%"
"19","Theo Johnson (NYG)","74","0","45","528","11.7","8","5","0","0","0","0","15","82.8","5.5","39.9%"
"20","Oronde Gadsden II (LAC)","69","0","49","664","13.6","11","3","0","0","0","1","15","82.4","5.5","55.7%"
"21","Zach Ertz (FA)","72","0","50","504","10.1","5","4","0","0","0","0","13","76.4","5.9","22.6%"
"22","Pat Freiermuth (PIT)","54","0","41","486","11.9","6","4","0","0","0","0","17","72.6","4.3","31.3%"
"23","Brenton Strange (JAC)","60","0","46","540","11.7","9","3","0","0","0","0","12","72.0","6.0","52.4%"
"24","Chig Okonkwo (WAS)","79","0","56","560","10.0","6","2","0","0","0","0","17","68.0","4.0","26.1%"
"25","Dawson Knox (BUF)","49","0","36","417","11.6","5","4","0","0","0","0","17","67.7","4.0","8.4%"
"26","Sam LaPorta (DET)","49","0","40","489","12.2","6","3","0","0","0","0","9","66.9","7.4","72.4%"
"27","Darren Waller (FA)","34","0","24","283","11.8","5","6","1","4","0","0","9","64.7","7.2","26.9%"
"28","Cade Otton (TB)","81","0","59","572","9.7","7","1","0","0","0","0","16","63.2","4.0","29.7%"
"29","T.J. Hockenson (MIN)","66","0","51","438","8.6","3","3","1","0","0","0","15","61.8","4.1","69.6%"
"30","Jake Tonges (SF)","46","0","34","293","8.6","2","5","0","0","0","0","16","59.3","3.7","29.9%"
"31","David Njoku (FA)","48","0","33","293","8.9","2","4","0","0","0","0","12","53.3","4.4","33.2%"
"32","Evan Engram (DEN)","76","0","50","461","9.2","4","1","1","7","0","0","16","52.8","3.3","35.0%"
"33","Cole Kmet (CHI)","48","0","30","347","11.6","5","2","0","0","0","0","16","48.7","3.0","15.2%"
"34","Gunnar Helm (TEN)","55","0","44","357","8.1","2","2","0","0","0","0","16","47.7","3.0","39.9%"
"35","Jonnu Smith (FA)","54","0","38","222","5.8","1","2","9","70","1","0","17","47.2","2.8","15.9%"
"36","Tyler Higbee (LAR)","36","0","25","281","11.2","6","3","0","0","0","0","10","46.1","4.6","6.0%"
"37","Mason Taylor (NYJ)","65","0","44","369","8.4","2","1","0","0","0","0","13","44.9","3.5","33.4%"
"38","Mike Gesicki (CIN)","42","0","28","307","11.0","2","2","0","0","0","0","13","42.7","3.3","22.9%"
"39","Darnell Washington (PIT)","43","0","31","364","11.7","3","1","0","0","0","1","16","42.4","2.7","10.2%"
"40","Terrance Ferguson (LAR)","25","0","11","231","21.0","7","3","1","0","0","0","13","41.1","3.2","26.7%"
"41","Noah Fant (NO)","41","0","34","288","8.5","3","3","0","0","0","3","15","40.8","2.7","4.2%"
"42","Daniel Bellinger (TEN)","26","0","19","286","15.1","4","2","0","0","0","0","16","40.6","2.5","1.3%"
"43","Josh Oliver (MIN)","19","0","15","160","10.7","2","4","0","0","0","0","15","40.0","2.7","1.0%"
"44","Davis Allen (LAR)","33","0","24","208","8.7","2","3","0","0","0","0","17","38.8","2.3","0.6%"
"44","Michael Mayer (LV)","50","0","35","328","9.4","3","1","0","0","0","0","13","38.8","3.0","18.6%"
"46","Austin Hooper (ATL)","26","0","21","263","12.5","6","2","0","0","0","0","16","38.3","2.4","2.2%"
"47","Tommy Tremble (CAR)","37","0","27","249","9.2","1","2","0","0","0","0","17","36.9","2.2","2.2%"
"48","Greg Dulcich (MIA)","33","0","26","335","12.9","7","1","1","-7","0","1","10","36.8","3.7","6.0%"
"49","Jackson Hawes (BUF)","19","0","16","187","11.7","2","3","0","0","0","0","17","36.7","2.2","1.0%"
"50","Isaiah Likely (NYG)","36","0","27","307","11.4","4","1","0","0","0","1","14","34.7","2.5","49.0%"
"51","Taysom Hill (FA)","16","0","11","91","8.3","0","0","52","114","1","1","13","30.8","2.4","9.4%"
"52","Mitchell Evans (CAR)","25","0","19","171","9.0","2","2","1","1","0","0","17","29.2","1.7","1.4%"
"53","Tanner Hudson (CIN)","24","0","19","168","8.8","1","2","0","0","0","0","13","28.8","2.2","1.2%"
"54","Elijah Higgins (ARI)","37","0","30","301","10.0","4","0","0","0","0","1","17","28.1","1.7","3.6%"
"55","Charlie Kolar (LAC)","15","0","10","142","14.2","2","2","0","0","0","0","17","26.2","1.5","0.9%"
"56","Adam Trautman (DEN)","23","0","20","195","9.8","3","1","0","0","0","0","17","25.5","1.5","0.6%"
"57","Luke Musgrave (GB)","31","0","24","252","10.5","5","0","0","0","0","0","17","25.2","1.5","5.8%"
"58","Ja'Tavion Sanders (CAR)","34","0","29","190","6.6","0","1","0","0","0","0","13","25.0","1.9","13.4%"
"59","Connor Heyward (LV)","4","0","3","21","7.0","0","1","15","43","2","0","16","24.4","1.5","0.3%"
"60","Jeremy Ruckert (NYJ)","29","0","23","179","7.8","1","1","0","0","0","0","17","23.9","1.4","0.7%"
"61","Brock Wright (DET)","22","0","14","108","7.7","1","2","0","0","0","0","11","22.8","2.1","0.7%"
"62","Elijah Arroyo (SEA)","26","0","15","179","11.9","4","1","0","0","0","1","13","21.9","1.7","18.4%"
"63","Hunter Long (JAC)","17","0","12","85","7.1","0","2","0","0","0","0","9","20.5","2.3","0.6%"
"64","Luke Farrell (SF)","14","0","11","85","7.7","0","2","0","0","0","1","17","18.5","1.1","0.6%"
"65","Noah Gray (KC)","37","0","21","178","8.5","1","0","0","0","0","0","16","17.8","1.1","17.2%"
"66","Mo Alie-Cox (IND)","20","0","13","117","9.0","1","1","0","0","0","0","17","17.7","1.0","0.6%"
"67","Ben Sinnott (WAS)","13","0","11","114","10.4","2","1","0","0","0","0","16","17.4","1.1","17.2%"
"68","Andrew Beck (NYJ)","9","0","6","45","7.5","0","2","1","5","0","0","17","17.0","1.0","0.2%"
"69","Drew Sample (CIN)","20","0","15","106","7.1","1","1","1","3","0","0","17","16.9","1.0","0.6%"
"70","John Bates (WAS)","16","0","11","103","9.4","1","1","0","0","0","0","15","16.3","1.1","0.6%"
"71","Julian Hill (NE)","20","0","15","140","9.3","1","0","0","0","0","0","14","16.0","1.1","0.7%"
"72","Brevyn Spann-Ford (DAL)","13","0","9","90","10.0","2","1","0","0","0","0","17","15.0","0.9","0.1%"
"73","Grant Calcaterra (PHI)","13","0","9","76","8.4","0","1","0","0","0","0","15","13.6","0.9","0.6%"
"74","John FitzPatrick (FA)","15","0","12","72","6.0","0","1","0","0","0","0","15","13.2","0.9","0.0%"
"74","Luke Schoonmaker (DAL)","23","0","14","132","9.4","1","0","0","0","0","0","17","13.2","0.8","0.7%"
"76","Quintin Morris (JAC)","9","0","6","55","9.2","0","1","0","0","0","0","13","11.5","0.9","1.4%"
"77","Ian Thomas (LV)","13","0","13","114","8.8","1","0","0","0","0","0","15","11.4","0.8","0.0%"
"78","Johnny Mundt (PHI)","19","0","9","111","12.3","1","0","0","0","0","0","16","11.1","0.7","0.1%"
"79","Nate Adkins (DEN)","11","0","6","48","8.0","0","1","0","0","0","0","9","10.8","1.2","1.0%"
"80","Jack Stoll (CLE)","11","0","6","46","7.7","0","1","0","0","0","0","15","10.6","0.7","0.0%"
"81","Tyler Conklin (DET)","10","0","7","101","14.4","2","0","1","2","0","0","10","10.3","1.0","1.0%"
"82","Will Dissly (FA)","16","0","11","97","8.8","0","0","0","0","0","0","9","9.7","1.1","1.0%"
