"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Puka Nacua (LAR)","166","0","129","1,715","13.3","27","10","10","105","1","1","16","246.0","15.4","98.6%"
"2","Jaxon Smith-Njigba (SEA)","163","0","119","1,793","15.1","27","10","7","36","0","1","17","240.9","14.2","99.0%"
"3","Amon-Ra St. Brown (DET)","172","0","117","1,401","12.0","19","11","3","9","0","0","17","207.0","12.2","98.1%"
"4","George Pickens (DAL)","137","0","93","1,429","15.4","22","9","0","0","0","0","17","198.9","11.7","92.2%"
"5","Ja'Marr Chase (CIN)","185","0","125","1,412","11.3","15","8","3","14","0","1","16","188.6","11.8","98.2%"
"6","Chris Olave (NO)","156","0","100","1,163","11.6","11","9","1","-3","0","0","16","169.0","10.6","89.4%"
"7","Davante Adams (LAR)","114","0","60","789","13.2","14","14","0","0","0","0","14","162.9","11.6","93.7%"
"8","Zay Flowers (BAL)","118","0","86","1,211","14.1","19","5","10","62","1","3","17","157.3","9.3","95.7%"
"9","Nico Collins (HOU)","120","0","71","1,117","15.7","18","6","2","15","1","1","15","155.2","10.3","98.5%"
"10","Jameson Williams (DET)","102","0","65","1,117","17.2","23","7","6","12","0","0","17","154.9","9.1","88.1%"
"11","Tee Higgins (CIN)","98","0","59","846","14.3","14","11","0","0","0","0","15","152.6","10.2","90.9%"
"12","Courtland Sutton (DEN)","124","0","74","1,017","13.7","17","7","0","0","0","0","17","145.7","8.6","92.9%"
"13","Michael Wilson (ARI)","126","0","78","1,006","12.9","14","7","0","0","0","0","17","142.6","8.4","87.3%"
"14","A.J. Brown (PHI)","121","0","78","1,003","12.9","14","7","0","0","0","0","15","142.3","9.5","95.2%"
"15","Tetairoa McMillan (CAR)","122","0","70","1,014","14.5","17","7","0","0","0","1","17","141.4","8.3","95.6%"
"16","Alec Pierce (IND)","84","0","47","1,003","21.3","17","6","0","0","0","0","15","136.3","9.1","70.7%"
"17","Drake London (ATL)","112","0","68","919","13.5","13","7","0","0","0","1","12","133.9","11.2","93.1%"
"18","Emeka Egbuka (TB)","127","0","63","938","14.9","20","6","2","9","0","0","17","132.7","7.8","91.3%"
"19","Jaylen Waddle (DEN)","100","0","64","910","14.2","14","6","2","28","0","0","16","130.1","8.1","94.3%"
"20","DK Metcalf (PIT)","99","0","59","850","14.4","15","6","2","12","1","0","15","128.2","8.5","86.7%"
"21","Parker Washington (JAC)","95","0","58","847","14.6","17","5","7","0","0","0","16","126.7","7.9","65.4%"
"22","CeeDee Lamb (DAL)","117","0","75","1,077","14.4","16","3","1","2","0","0","14","125.9","9.0","93.9%"
"22","Wan'Dale Robinson (TEN)","140","0","92","1,014","11.0","14","4","3","5","0","0","16","125.9","7.9","78.1%"
"24","Stefon Diggs (FA)","102","0","85","1,013","11.9","17","4","0","0","0","0","17","125.3","7.4","72.8%"
"25","DeVonta Smith (PHI)","113","0","77","1,008","13.1","14","4","0","0","0","0","17","124.8","7.3","95.4%"
"26","Michael Pittman Jr. (PIT)","111","0","80","784","9.8","5","7","0","0","0","0","17","122.4","7.2","82.7%"
"27","DJ Moore (BUF)","85","0","50","682","13.6","12","6","15","79","1","1","17","120.2","7.1","89.9%"
"27","Quentin Johnston (LAC)","85","0","51","735","14.4","13","8","2","7","0","1","14","120.2","8.6","73.6%"
"29","Jauan Jennings (FA)","90","0","55","643","11.7","9","9","0","0","0","1","15","118.3","7.9","63.7%"
"30","Justin Jefferson (MIN)","141","0","84","1,048","12.5","12","2","2","7","0","0","17","117.5","6.9","93.3%"
"31","Deebo Samuel Sr. (FA)","99","0","72","727","10.1","10","5","17","75","1","0","16","116.2","7.3","62.8%"
"32","Ladd McConkey (LAC)","106","0","66","789","12.0","8","6","0","0","0","0","16","114.9","7.2","95.2%"
"33","Troy Franklin (DEN)","104","0","65","709","10.9","9","6","5","12","0","1","17","112.1","6.6","43.1%"
"34","Romeo Doubs (NE)","85","0","55","724","13.2","12","6","0","0","0","0","16","110.4","6.9","73.1%"
"35","Tre Tucker (LV)","92","0","57","696","12.2","9","5","11","51","0","0","17","104.7","6.2","46.5%"
"36","Rome Odunze (CHI)","90","0","44","661","15.0","13","6","0","0","0","0","12","102.1","8.5","87.1%"
"37","Keenan Allen (LAC)","122","0","81","777","9.6","6","4","0","0","0","0","17","101.7","6.0","39.3%"
"38","Jakobi Meyers (JAC)","110","0","75","835","11.1","10","3","5","13","0","1","16","100.8","6.3","80.8%"
"39","Rashid Shaheed (SEA)","92","0","59","687","11.6","6","2","9","69","0","1","18","97.6","5.4","59.4%"
"40","Christian Watson (GB)","55","0","35","611","17.5","11","6","1","3","0","0","10","97.4","9.7","77.2%"
"41","Rashee Rice (KC)","78","0","53","571","10.8","9","5","5","20","1","0","8","97.1","12.1","91.7%"
"42","Khalil Shakir (BUF)","95","0","72","719","10.0","8","4","1","5","0","1","16","94.4","5.9","79.3%"
"43","Jordan Addison (MIN)","79","0","42","610","14.5","11","3","2","81","1","0","14","93.1","6.7","76.9%"
"44","Kayshon Boutte (NE)","46","0","33","551","16.7","10","6","0","0","0","0","14","91.1","6.5","36.8%"
"45","Brian Thomas Jr. (JAC)","91","0","48","707","14.7","11","2","3","21","1","0","14","90.8","6.5","90.4%"
"46","Hollywood Brown (PHI)","74","0","49","587","12.0","7","5","0","0","0","0","16","88.7","5.5","16.7%"
"47","Jayden Higgins (HOU)","68","0","41","525","12.8","5","6","0","0","0","0","17","88.5","5.2","44.9%"
"48","Marvin Harrison Jr. (ARI)","73","0","41","608","14.8","9","4","0","0","0","0","12","86.8","7.2","90.2%"
"49","Luther Burden III (CHI)","60","0","47","652","13.9","11","2","6","37","0","0","15","80.9","5.4","67.4%"
"50","Josh Downs (IND)","88","0","58","566","9.8","4","4","2","-2","0","1","16","78.4","4.9","62.3%"
"51","Chimere Dike (TEN)","74","0","48","423","8.8","6","4","11","18","0","1","17","78.1","4.6","32.8%"
"52","Terry McLaurin (WAS)","60","0","38","582","15.3","7","3","0","0","0","0","10","76.2","7.6","86.2%"
"53","Elic Ayomanor (TEN)","89","0","41","515","12.6","8","4","0","0","0","0","16","75.5","4.7","29.6%"
"54","Ryan Flournoy (DAL)","56","0","40","475","11.9","5","4","4","25","0","0","15","74.0","4.9","21.9%"
"55","Jalen Nailor (LV)","53","0","29","444","15.3","9","4","2","13","0","0","17","71.7","4.2","11.2%"
"56","Malik Washington (MIA)","65","0","46","317","6.9","2","3","17","110","1","1","17","70.7","4.2","25.2%"
"56","Jerry Jeudy (CLE)","106","0","50","602","12.0","6","2","1","5","0","1","17","70.7","4.2","67.5%"
"58","Cooper Kupp (SEA)","70","0","47","593","12.6","8","2","0","0","0","1","16","70.3","4.4","36.4%"
"59","Xavier Worthy (KC)","73","0","42","532","12.7","9","1","11","87","0","0","14","67.9","4.9","84.0%"
"60","Mack Hollins (NE)","65","0","46","550","12.0","8","2","1","4","0","0","15","67.4","4.5","7.3%"
"61","DeMario Douglas (NE)","46","0","31","447","14.4","7","3","7","21","0","0","17","64.8","3.8","13.8%"
"62","Tez Johnson (TB)","44","0","28","322","11.5","3","5","8","24","0","0","16","64.6","4.0","15.2%"
"63","Keon Coleman (BUF)","59","0","38","404","10.6","5","4","0","0","0","1","13","64.4","5.0","30.2%"
"64","Garrett Wilson (NYJ)","59","0","36","395","11.0","4","4","0","0","0","0","7","63.5","9.1","79.5%"
